Číslo aktivity,ČVS,Rok zaevidovania,Rok aktivity,Druh aktivity,Katastrálne územie,Obec,Poloha,Okres,Vedúci výskumu,Autor - NS,Inštitúcia,Číslo akcie,Datovanie - NS,Datovanie - CEANS,Druh náleziska - pôvodná hodnota,Datovanie-druh náleziska,Stupeň lokalizácie,Existuje GIS väzba,Súradnica X,Súradnica Y,Malá/veľká
č.a. 31250,21221,2023,"2023, 2024",nálezová správa - interná,Mlynica,Mlynica,"Obytný súbor RD - Pod vodojemom, SO 803/2, preložka VN linky č. 235",Poprad,Soják M.,Soják M.,,86/2023,negatívne,negatívne,,,1,TRUE,-1193522.475,-330080.4463,malá
č.a. 31262,21222,2023,2023,nálezová správa - interná,Silica,Silica,Jaskyňa Silická ľadnica,Rožňava,Soják M.,Soják M.,,90/2023,"Neolit, Doba bronzová-kyjatická, Novovek","NE, BZ-ky, NV-20",sídlisko,,1,TRUE,-1255568.4,-319021.6595,malá
č.a. 31367,21223,2024,2024,nálezová správa - interná,Dvory nad Žitavou,Dvory nad Žitavou,"RD, p.č. 5497/42,123,155",Nové Zámky,Bobek P.,Bobek P.,ArÚ SAV,20/2024,negatívne,negatívne,,,1,TRUE,-1306861.095,-489151.4525,malá
č.a. 31358,21224,2024,2024,nálezová správa - interná,Drženice,Drženice,"Pereš, modernizácie farmy dojníc, p.č. 1386",Levice,Vangľová T.,Vangľová T.,ArÚ SAV,11/2024,negatívne,negatívne,,,1,TRUE,-1276757.797,-455020.3352,malá
č.a. 31421,21225,2024,2024,nálezová správa - interná,Pata,Pata,"RD, p.č. 4222/14",Galanta,Daňová K.,Daňová K.,,48/2024,negatívne,negatívne,,,1,TRUE,-1270482.699,-519037.9755,malá
č.a. 31411,21226,2024,2024,nálezová správa - interná,Zvolen,Zvolen,"Kruhový objazd ul. J. Kollára a cesta 2460, p.č. 4334/3, 4334/19, 5298/2",Zvolen,Debnár P.,Debnár P.,,42/2024,negatívne,negatívne,,,1,TRUE,-1244940.18,-420629.5798,malá
č.a. 31444,21227,2024,2024,nálezová správa - interná,Ostrá Lúka,Ostrá Lúka,"Hradisko Gunda, p.č. 1328",Zvolen,Beljak J.,"Beljak J., Debnár P.",,61/2024,Doba bronzová-pilinská,BZ-pi,sídlisko opevnené,,1,TRUE,-1247294.913,-425281.0648,malá
č.a. 31476,21228,2024,2024,nálezová správa - interná,Banská Štiavnica,Banská Štiavnica,"Bytový dom, rekonštrukcia nehnutelnosti, ul. Dolná-Robotnícka-Tabaková, p.č. 2058, 2066/1, 5738/9, 5740/6,1",Banská Štiavnica,Labuda J.,"Labuda J., Debnár P.",,74/2024,negatívne,negatívne,,,1,TRUE,-1258317.547,-438020.6215,malá
č.a. 31388,21229,2024,2024,nálezová správa - interná,Slovenská Ľupča,Slovenská Ľupča,"Dolné záhumnie, rozšírenie NNK, zahustenie TS, rekonštrukcia VNS, p.č. 534/33,79, 3043, 535/1, 1812/2",Banská Bystrica,Čierny M.,Čierny M.,ArÚ SAV,32/2024,negatívne,negatívne,,,1,TRUE,-1226164.469,-408622.9334,malá
č.a. 31418,21230,2024,2024,nálezová správa - interná,Zvolen,Zvolen,"Pustý hrad - Horný hrad, p.č. 2973/7; 2973/12, 2973/33, 2973/3",Zvolen,Beljak J.,"Beljak J., Čierny M.",,45/2024,"Eneolit, Doba bronzová, Doba laténska, Doba rímska, Stredovek, Novovek","EN-ba, BZ-ml, BZ-ne, LT-ne, ST-vc, RI-ml, ST-12, ST-13, ST-14, ST-15, NV-16, NV-17",sídlisko opevnené,,1,TRUE,-1248256.045,-422012.2254,veľká
č.a. 31435,21231,2024,2024,nálezová správa - interná,Veľké Kostoľany,Veľké Kostoľany,"Ul. Cypriána Majerníka, p.č. 471/1, 473/1-2, 477/2,4",Piešťany,"Źaár O., Bielichová Z.",Bielichová Z.,,,Doba halštatská,HA,pohrebisko,,3,TRUE,-1245016.881,-524392.9695,malá
č.a. 31449,21232,2024,2024,nálezová správa - interná,Želiezovce,Želiezovce,Okrúhly majer,Levice,"Cheben M., Bielichová Z.",Bielichová Z.,,,Doba laténska,LT,pohrebisko,,3,TRUE,-1300871.612,-466160.6243,malá
č.a. 31450,21233,2024,2024,nálezová správa - interná,Hurbanovo,Hurbanovo,Majer Konkoly,Komárno,"Rajtár J., Bielichová Z.",Bielichová Z.,,,Doba halštatská,HA-vg,sídliako,,3,TRUE,-1321108.512,-495962.8673,malá
č.a. 31341,21234,2024,2024,nálezová správa - interná,Jelšovce,Jelšovce,"Bogmaj Laz, výstavba 26 RD, komunikácia, siete, p.č. 600/13",Nitra,Gabulová M.,Gabulová M.,ArÚ SAV,3/2024,"Neolit, Eneolit, Doba bronzová, Doba rímska, Stredovek","NE-lk, EN-ls, BZ-ml, RI, ST-11, ST-12","sídlisko, pohrebisko","Neolit - sídlisko, Eneolit - lengyelská - sídlisko, Doba bronzová - mladá - sídlisko, Doba rímska - sídlisko, Stredovek - 11. storočie - sídlisko, Stredovek - 12. storočie - sídlisko, Neolit - pohrebisko, Eneolit - lengyelská - pohrebisko",1,TRUE,-1261469.276,-501192.4147,veľká
č.a. 31499,21235,2024,2024,nálezová správa - externá,Šaľa,Šaľa,"RETAIL BOX ŠAĽA, ul. Slovenského národného povstania, Kráľovská, Švermova",Šaľa,Iván R.,"Pamarch s.r.o., Iván R.",,,negatívne,negatívne,,,1,TRUE,-1285385.161,-517264.1092,malá
č.a. 31500,21236,2024,2024,nálezová správa - externá,Šaľa,Šaľa,"RETAIL BOX ŠAĽA, ul. Slovenského národného povstania, Kráľovská, Švermova",Šaľa,Iván R.,"Pamarch s.r.o., Iván R.",,,negatívne,negatívne,,,1,TRUE,-1285444.3,-517246.6868,malá
č.a. 31501,21237,2024,"2022, 2023",nálezová správa - externá,Lužianky,Lužianky,"Pri tehelni/Pri majeri, RD, p.č. 1911/8",Nitra,Žaár O.,"Pamarch s.r.o., Žaár O., Žaárová Ľ.",,,negatívne,negatívne,,,1,TRUE,-1264950.223,-504622.4386,malá
č.a. 31502,21238,2024,"2022, 2023",nálezová správa - externá,Dunajská Streda,Dunajská Streda,"Bytový komplex, ALICANTE 2. etapa výstavby, p.č. 2826/347,406, 410, 411, 428-431, 433, 438, 439, 479, 555-559,632-635......",Dunajská Streda,Mlynková K.,"Archeocenter s.r.o., Mlynková K., Mlynka M.",,,negatívne,negatívne,,,1,TRUE,-1302122.78,-538834.7622,malá
č.a. 31503,21239,2024,2023,nálezová správa - externá,Kostolné Kračany,Kostolné Kračany,"Automatizovaný sklad hotových výrobkov, p.č. 257/44,45,47,198,553,556",Dunajská Streda,Mlynková K.,"Archeocenter s.r.o., Mlynková K., Mlynka M.",,,negatívne,negatívne,,,1,TRUE,-1301758.134,-541441.2152,malá
č.a. 31504,21240,2024,2024,nálezová správa - externá,Oravský Podzámok,Oravský Podzámok,"Hrad, Palác hradný II - Korvínov palác, p.č. 1, 2, 4-6",Dolný Kubín,Furman M.,"Oravské múzeum, PÚ SR, Lofajová Danielová B.",,,"Eneolit, Doba bronzová, Doba laténska, Doba rímska, Sťahovanie národov, Stredovek, Novovek","EN, BZ, HA, LT, RI, SN, ST-vc, ST-13, ST-15, NV-16, NV-17, NV-18, NV-19, NV-20, NV-21",,,1,TRUE,-1171261.93,-397972.0746,veľká
č.a. 31506,21241,2024,2023,nálezová správa - externá,Veľký Meder,Veľký Meder,"IBV Okočská cesta III, p.č. 4676/8, 4676/917,  4677/14",Dunajská Streda,Gereová M.,"ARCHAEOJEDY, s.r.o., Gereová M., Gere M.",,,"Neolit-lin.ker.ml, Neolit-želiezovská","NE-lm, NE-ze",sídlisko,,1,TRUE,-1316549.158,-527506.1975,veľká
č.a. 31507,21242,2024,"2023, 2024",nálezová správa - externá,Dvory nad Žitavou,Dvory nad Žitavou,"RD, p.č. 4591, 4592",Nové Zámky,Žaár O.,"Pamarch s.r.o., Žaár O., Žaárová Ľ.",,,negatívne,negatívne,,,1,TRUE,-1304039.138,-489178.0925,malá
č.a. 31510,21243,2024,"2023, 2024",nálezová správa - externá,Lehota pod Vtáčnikom,Lehota pod Vtáčnikom,"INS_FTTH_PD_NVKY_02_Lehota pod Vtáčnikom, intravilán obce",Prievidza,Žaár O.,"Pamarch, s.r.o., Žaár O., Žaárová Ľ.",,,negatívne,negatívne,,,1,TRUE,-1229983.69876,-458166.5378,malá
č.a. 31511,21244,2024,"2022, 2023",nálezová správa - externá,Drahovce,Drahovce,"Splašková kanalizácia, intravilán, sev. extravilán-Trnová, Medzi mostami, Prostredné, Noviny, Samuelová",Piešťany,Žaár O.,"Pamarch, s.r.o., Žaár O., Žaárová Ľ.",,,"Stredovek, Novovek","ST, NV-19, NV-20",sídlisko,,1,TRUE,-1244697.50307,-518484.097051,malá
