Číslo aktivity,ČVS,Rok zaevidovania,Rok aktivity,Druh aktivity,Katastrálne územie,Obec,Poloha,Okres,Vedúci výskumu,Autor - NS,Inštitúcia,Číslo akcie,Datovanie - NS,Datovanie - CEANS,Druh náleziska - pôvodná hodnota,Datovanie-druh náleziska,Stupeň lokalizácie,Existuje GIS väzba,Súradnica X,Súradnica Y,Malá/veľká
č.a. 31291,21062,2024,"2022, 2023",nálezová správa - externá,Banská Bystrica,Banská Bystrica,"Obnova „meštianskeho domu“ na Nám. SNP č. 9, p.č. 1477",Banská Bystrica,Kvietková V.,"Midland Adventure, s. r.o., Kvietok M., Kvietková V.","Midland Adventure, s. r.o.",,"Stredovek, Novovek","ST-15, NV-16",sídlisko,"Stredovek - 15. storočie - sídlisko, Novovek - 16. storočie - sídlisko",1,1,-1228633.581,-417865.7741,malá
č.a. 31292,21063,2024,2023,nálezová správa - externá,Nesvady,Nesvady,Technická vybavenosť IBV 63 RD,Komárno,Kvietok M.,"Midland Adventure, s. r.o., Kvietok M., Kvietková V., Felcan M.","Midland Adventure, s. r.o.",,"Neolit, Eneolit, Doba bronzová, Novovek","NE, EN, BZ, NV",sídlisko,"Neolit - sídlisko, Eneolit - sídlisko, Doba bronzová - sídlisko, Novovek - sídlisko",1,1,-1311628.864,-499478.6532,malá
č.a. 31293,21064,2024,2023,nálezová správa - externá,Šafárikovo,Tornaľa,"Pošta Tornaľa-rekonštrukcia strechy a zateplenie fasády, p.č. 1173/1",Revúca,Kvietok M.,"Midland Adventure, s. r.o., Kvietok M., Pinter R., Tomášik R.","Midland Adventure, s. r.o.",,Pravek,PK,neurčiteľné,Pravek - neurčiteľné,1,1,-1269140.26,-333356.5493,malá
č.a. 31294,21065,2024,2023,nálezová správa - externá,Banská Bystrica,Banská Bystrica,"Havária vodovodnej prípojky, Námestie Š. Moysesa, p.č. 5419/3, 7/1",Banská Bystrica,Kvietok M.,"Midland Adventure, s. r.o., Kvietok M., Pinter R.","Midland Adventure, s. r.o.",,"Stredovek-15.stor., Novovek","ST-15, NV",sídlisko opevnené,"Stredovek - 15. storočie - sídlisko opevnené, Novovek - sídlisko opevnené",1,1,-1228348.05,-417660.1363,malá
č.a. 31295,21066,2024,2023,nálezová správa - externá,Hájniky,Sliač,"OC Billa, p.č. 646/45",Zvolen,Molota T.,"Midland Adventure, s. r.o., Kvietok M., Kvietková V., Molota T., Tomášik R.","Midland Adventure, s. r.o.",,Stredovek-15.stor.,ST-15,neurčiteľné,Stredovek - 15. storočie - neurčiteľné,1,1,-1242341.539,-420115.6849,malá
č.a. 31296,21067,2024,2023,nálezová správa - externá,Hájniky,Sliač,Inžinierske siete Sliač Hájniky – JUH – Sielnický potok,Zvolen,Kvietková V.,"Midland Adventure, s. r.o., Kvietok M., Kvietková V., Molota T., Tomášik R.","Midland Adventure, s. r.o.",,"Stredovek-15.stor., Novovek-19.stor.","ST-15, NV-19",neurčiteľné,"Stredovek - 15. storočie - neurčiteľné, Novovek - 19. storočie - neurčiteľné",1,1,-1242371.599,-419985.8792,malá
č.a. 31297,21068,2024,2023,nálezová správa - externá,Banská Bystrica,Banská Bystrica,"Havária kanalizačnej prípojky, Námestie SNP, p.č. 5505/1",Banská Bystrica,Kvietok M.,"Midland Adventure, s. r.o., Kvietok M., Molota T., Felcan M.","Midland Adventure, s. r.o.",,Novovek,NV,sídlisko,Novovek - sídlisko,1,TRUE,-1228592.955,-417873.0137,malá
č.a. 31298,21069,2024,2023,nálezová správa - externá,Patince,Patince,"Kostol sv. Vendelína, 1. etepa, p.č. 4494, 4495",Komárno,Molota T.,"Midland Adventure, s. r.o., Kvietok M., Pinter R., Tomášik R., Egyudová D.","Midland Adventure, s. r.o.",,"Stredovek, Novovek","ST-13, ST-14, NV-18, NV-19",areál kultový,"Stredovek - 13. storočie - areál kultový, Stredovek - 14. storočie - areál kultový, Novovek - 18. storočie - areál kultový, Novovek - 19. storočie - areál kultový",1,TRUE,-1333931.026,-489444.7035,malá
č.a. 31299,21070,2024,2023,nálezová správa - externá,Nitrianske Pravno,Nitrianske Pravno,"Vodozádržné opatrenia, Námestie SNP, p.č. 1/1, 4/3, 413, 414/1, 6935, 6962...",Prievidza,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M., Pinter R., Tomášik R., Molota T.","Midland Adventure, s. r.o.",,"Stredovek, Novovek","ST-14, ST-15, NV",sídlisko,"Stredovek - 14. storočie - sídlisko, Stredovek - 15. storočie - sídlisko",1,TRUE,-1210519.562,-454112.6359,malá
č.a. 31300,21071,2024,2023,nálezová správa - externá,Banská Bystrica,Banská Bystrica,"Uľanská cesta, garáž a kancerlárske priestory so štúdiom, p.č. 93/3,4",Banská Bystrica,Kvietok M.,"Midland Adventure, s. r. o. ,Kvietok M., Tomášik R., Elgyudová D","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1223081.598,-419667.1002,malá
č.a. 31301,21072,2024,2023,nálezová správa - externá,Paňa,Paňa,"Výstavba Bocianie hniezdo, p.č. 5/2,3, 6/1,2, 1225/1,2, 1226/2, 1227/1,2, 1228/301",Nitra,Kvietok M.,"Midland Adventure, s. r. o. ,Kvietok M., Pinter R., Elgyudová D.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1279255.315,-489832.691,malá
č.a. 31302,21073,2024,2023,nálezová správa - externá,Banská Bystrica,Banská Bystrica,"Lazovná ul. č. 43, súp.č. 267,  p.č. 2241/1,2,3",Banská Bystrica,Molota T.,"Midland Adventure, s. r. o. ,Kvietok M.,Tomášik R.","Midland Adventure, s. r.o.",,Novovek,NV-19,neurčiteľné,Novovek - 19. storočie - neurčiteľné,1,TRUE,-1227939.525,-418165.7867,malá
č.a. 31303,21074,2024,2023,nálezová správa - externá,Sklabinský Podzámok,Sklabinský Podzámok,"Hrad Sklabiňa, p.č. 234/10, 234/12",Martin,Kvietok M.,"Midland Adventure, s. r. o. ,Kvietok M., Pinter R., Tomášik R., Elgyudová D.","Midland Adventure, s. r.o.",,"Stredovek, Novovek","ST-15, NV",sídlisko opevnené,"Stredovek - 15. storočie - sídlisko opevnené, Novovek - sídlisko opevnené",1,TRUE,-1192456.052,-424403.1422,malá
č.a. 31304,21075,2024,2023,nálezová správa - externá,Badín,Badín,"RD, p.č. 1244/19, 1244/4, 3196/1, 1100/8",Banská Bystrica,Kvietková V.,"Midland Adventure, s. r. o. ,Kvietok M., Kvietková V.","Midland Adventure, s. r.o.",,nedatovateľné,NX,,nedatovateľné,1,TRUE,-1236761.97,-419806.8502,malá
č.a. 31305,21076,2024,2023,nálezová správa - externá,Galanta,Galanta,"RD, p.č. 5188/138,139,254,255",Galanta,Kvietok M.,"Midland Adventure, s. r. o. ,Kvietok M., Kvietková V., Elgyudová D.","Midland Adventure, s. r.o.",,nedatovateľné,NX,,nedatovateľné,1,TRUE,-1279629.829,-525180.4184,malá
č.a. 31306,21077,2024,2023,nálezová správa - externá,Špania Dolina,Špania Dolina,"Sanácia bodovej závady, cesta III/2410 - 3,770-3900km, p.č. 1206/1",Banská Bystrica,Kvietková V.,"Midland Adventure, s. r. o. ,Kvietok M., Kvietková V., Molota T.","Midland Adventure, s. r.o.",,Novovek,"NV-17, NV-19",neurčiteľné,"Novovek - 17. storočie - neurčiteľné, Novovek - 19. storočie - neurčiteľné",1,TRUE,-1220573.634,-418202.1902,malá
č.a. 31307,21078,2024,2023,nálezová správa - externá,Sielnica,Sielnica,"Za ihriskom, rozšírenie NNK, p.č. 682/1, 683/1, 683/2",Zvolen,Molota T.,"Midland Adventure, s. r. o. ,Kvietok M., Pinter R., Tomášik R., Elgyudová D.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1239672.243,-420841.5674,malá
č.a. 31308,21079,2024,2023,nálezová správa - externá,Čápor,Cabaj - Čápor,"RD+prístrešok, p.č. 472/4, 472/6",Nitra,Kvietková V.,"Midland Adventure, s. r. o. ,Kvietok M., Pinter R., Tomášik R.","Midland Adventure, s. r.o.",,Neolit,NE,sídlisko,Neolit - sídlisko,1,TRUE,-1275660.686,-505107.2629,malá
č.a. 31309,21080,2024,2023,nálezová správa - externá,Špania Dolina,Špania Dolina,"Do kúta, Obnova NKP - dom ľudový, súp.č. 153, p.č. 249, 251, 252, 253",Banská Bystrica,Kvietková V.,"Midland Adventure, s. r. o. ,Tomášik R., Molota T., Elgyudová D.","Midland Adventure, s. r.o.",,Novovek,"NV-17, NV-19",sídlisko,"Novovek - 17. storočie - sídlisko, Novovek - 19. storočie - sídlisko",1,TRUE,-1220467.365,-418311.3509,malá
č.a. 31310,21081,2024,2023,nálezová správa - externá,Šafárikovo,Tornaľa,"ul. Mierová, ul. Škultétyho, ul. Poštová, INS-FTTH-RA-TORN-00",Revúca,Kvietok M.,"Midland Adventure, s. r. o. ,Kvietok M., Molota T., Tomášik R.","Midland Adventure, s. r.o.",,"Doba bronzová-pilinská, Novovek","BZ-pi, NV-18, NV-19",sídlisko,"Doba bronzová - pilinská - sídlisko, Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko",1,TRUE,-1269303.115,-333449.6242,malá
č.a. 31311,21082,2024,2023,nálezová správa - externá,Sládkovičovo,Sládkovičovo,"Pri železnici, RD, p.č. 3612/122",Galanta,Kvietok M.,"Midland Adventure, s. r. o. ,Kvietok M., Pinter R., Tomášik R.","Midland Adventure, s. r.o.",,Pravek,PK,sídlisko,Pravek - sídlisko,1,TRUE,-1278580.739,-535054.0208,malá
č.a. 31312,21083,2024,2023,nálezová správa - externá,Banská Štiavnica,Banská Štiavnica,"Ul. Novozámocká 135/6, Obnova NKP dom meštiansky, p.č. 2378/ 2379",Banská Štiavnica,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M., Tomášik R., Molota T., Elgyudová D.","Midland Adventure, s. r.o.",,"Stredovek, Novovek","ST-14, ST-15, NV-16, NV-17, NV-18",sídlisko,"Stredovek - 14. storočie - sídlisko, Stredovek - 15. storočie - sídlisko, Novovek - 16. storočie - sídlisko, Novovek - 17. storočie - sídlisko, Novovek - 18. storočie - sídlisko",1,TRUE,-1257887.714,-438657.2203,malá
č.a. 31313,21084,2024,2023,nálezová správa - externá,Zvolen,Zvolen,"OC OBI Zvolen, Pod Strážou, ZV - Západ, II. etapa, p.č. 3445/52, 120, 124, 109",Zvolen,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M.,Tomášik R.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1245213.787,-422271.3319,malá
č.a. 31314,21085,2024,2023,nálezová správa - externá,Koniarovce,Koniarovce,"RD, p.č. 176/3",Topoľčany,Kvietková V.,"Midland Adventure, s. r. o., Kvietok M., Pinter R., Tomášik R., Elgyudová D.","Midland Adventure, s. r.o.",,Doba rímska,"RI-01, RI-02, RI-03, RI-04",sídlisko,"Doba rímska - 1. storočie - sídlisko, Doba rímska - 2. storočie - sídlisko, Doba rímska - 3. storočie - sídlisko, Doba rímska - 4. storočie - sídlisko",1,TRUE,-1256275.237,-497741.4538,malá
č.a. 31315,21086,2024,2023,nálezová správa - externá,Badín,Badín,"Nad Močidlami, ul. Osloboditeľov, Reštaurácia Koliba, p.č. 1024/1,2,4, 1492/5, 3172/1",Banská Bystrica,Kvietok M.,"Midland Adventure, s. r. o., Molota T., Kvietok M.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1236214.404,-419265.8038,malá
č.a. 31316,21087,2024,2023,nálezová správa - externá,Horná Streda,Horná Streda,"Dolné Pole, Centrum automatizácie a robotizácie automobilovej výroby Horná Streda - II.etapa",Nové Mesto nad Váhom,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M., Kvietková V., Felcan M., Choma M.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1230468.69,-514089.4789,malá
č.a. 31317,21088,2024,2023,nálezová správa - externá,Modrý Kameň,Modrý Kameň,"Hrad Modrý Kameň, ul. Zámocká, obnova mostu, p.č. 2, 4/1",Veľký Krtíš,Molota T.,"Midland Adventure, s. r. o., Molota T., Kvietok M.","Midland Adventure, s. r.o.",,Novovek,NV-16,sídlisko opevnené,Novovek - 16. storočie - sídlisko opevnené,1,TRUE,-1284031.156,-407953.1752,malá
č.a. 31318,21089,2024,2023,nálezová správa - externá,Nováky,Nováky,"Prístupová komunikácia a inžinierske siete, p.č. 586/30, 586/86........",Prievidza,Molota T.,"Midland Adventure, s. r. o., Kvietok M., Pinter R.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1226661.175,-461585.2075,malá
č.a. 31319,21090,2024,2023,nálezová správa - externá,Banská Hodruša,Hodruša - Hámre,"RD a hospodársky objekt, p.č. 869/1, 868/3",Žarnovica,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M., Kvietková V., Elgyudová D.","Midland Adventure, s. r.o.",,Novovek,"NV-17, NV-18, NV-19",neurčiteľné,"Novovek - 17. storočie - neurčiteľné, Novovek - 18. storočie - neurčiteľné, Novovek - 19. storočie - neurčiteľné",1,TRUE,-1256631.676,-444316.2058,malá
č.a. 31320,21091,2024,2023,nálezová správa - externá,Nižná nad Oravou,Nižná,"IBV Nižná - Krivé Hony, p.č. 1164/57-59, 1188/25-30, 1188/32-35",Tvrdošín,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M., Pinter R., Tomášik R.","Midland Adventure, s. r.o.",,Novovek,NV,neurčiteľné,neurčiteľné,1,TRUE,-1166460.311,-385275.167,malá
č.a. 31321,21092,2024,2023,nálezová správa - externá,Špania Dolina,Špania Dolina,"Na pľaci, Vodný Mlyn, Realizácia vodovodnej prípojky, p.č. 308, 319, 311, 314, 1177, 1197",Banská Bystrica,Kvietková V.,"Midland Adventure, s. r. o., Kvietok M., Molota T., Tomášik R.","Midland Adventure, s. r.o.",,Novovek,"NV-16, NV-17, NV-18",sídlisko,"Novovek - 16. storočie - sídlisko, Novovek - 17. storočie - sídlisko, Novovek - 18. storočie - sídlisko",1,TRUE,-1220420.598,-418071.0948,malá
č.a. 31322,21093,2024,2023,nálezová správa - externá,Nové Sady,Nové Sady,"Šafranica, technická infraštruktúry pre 4 RD, p.č. 1105/20,21,31-34",Nitra,Kvietková V.,"Midland Adventure, s. r. o., Kvietok M.,Tomášik R.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1256419.654,-507261.4431,malá
č.a. 31323,21094,2024,2023,nálezová správa - externá,Banská Bystrica,Banská Bystrica,"Kuzmányho ul. 18, p.č. 1535/3",Banská Bystrica,Kvietková V.,"Midland Adventure, s. r. o., Kvietok M., Kvietková V., Elgyudová D., Tomášik R.","Midland Adventure, s. r.o.",,"Stredovek, Novovek","ST-15, NV-16, NV-17, NV-18",sídlisko,"Stredovek - 15. storočie - sídlisko, Novovek - 16. storočie - sídlisko, Novovek - 17. storočie - sídlisko, Novovek - 18. storočia - sídlisko",1,TRUE,-1228847.718,-418073.2294,malá
č.a. 31324,21095,2024,2023,nálezová správa - externá,Banská Štiavnica,Banská Štiavnica,"Námestie Sv. Trojice 6,  NKP Akadémia s areálom, Berggericht, p.č. 3210",Banská Štiavnica,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M.","Midland Adventure, s. r.o.",,"Stredovek, Novovek","ST-15, NV-16, NV-17, NV-18, NV-19",sídlisko opevnené,"Stredovek - 15. storočie - sídlisko opevnené, Novovek - 16. storočie - sídlisko opevnené, Novovek - 17. storočie - sídlisko opevnené, Novovek - 18. storočie - sídlisko opevnené, Novovek - 19. storočie - sídlisko opevnené",1,TRUE,-1257684.078,-438699.9094,malá
č.a. 31325,21096,2024,2023,nálezová správa - externá,Veľké Vozokany,Veľké Vozokany,"IBV Veľké Vozokany, I. etapa, p.č. 5257",Zlaté Moravce,Molota T.,"Midland Adventure, s. r. o., Kvietok M., Pinter R., Tomášik R., Elgyudová D.","Midland Adventure, s. r.o.",,Pravek,PK,sídlisko,Pravek - sídlisko,1,TRUE,-1267426.313,-475179.437,malá
č.a. 31326,21097,2024,2023,nálezová správa - externá,Detva,Detva,"RD, p.č. 7381/26",Detva,Kvietková V.,"Midland Adventure, s. r. o., Kvietok M.,  Elgyudová D.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,TRUE,-1250295.028,-399817.4546,malá
č.a. 31327,21098,2024,2023,nálezová správa - externá,Stará Turá,Stará Turá,"Trávniky, Vodovod DN 160, p.č. 4026, 4006/4, 4085/1, 4024",Nové Mesto nad Váhom,Molota T.,"Midland Adventure, s. r. o., Elgyudová D., Molota T.","Midland Adventure, s. r. o.",,negatívne,negatívne,,,1,TRUE,-1212568.647,-523954.1078,malá
č.a. 31328,21099,2024,2023,nálezová správa - externá,Banská Bystrica,Banská Bystrica,"Bašta mestského opevnenia, p.č. 1693/1, 1693/4, 1693/5, 727, 728/, 729/1",Banská Bystrica,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M.,Tomášik R.","Midland Adventure, s. r. o.",,Novovek,"NV-16, NV-17, NV-18",sídlisko opevnené,"Novovek - 16. storočie - sídlisko opevnené, Novovek - 17. storočie - sídlisko opevnené, Novovek - 18. storočie - sídlisko opevnené",1,TRUE,-1228413.098,-418155.83,malá
č.a. 31329,21100,2024,2023,nálezová správa - externá,Šišov,Šišov,"Obytná zóna, lokalita 8.4, p.č. 189/1, 189/2, 188/1",Bánovce nad Bebravou,Kvietková V.,"Midland Adventure, s. r. o., Kvietok M.,  Elgyudová D.","Midland Adventure, s. r. o.",,negatívne,negatívne,,,1,TRUE,-1230999.268,-490369.2195,malá
č.a. 31330,21101,2024,2023,nálezová správa - externá,Svätý Anton,Svätý Anton,"STL pripojovací plynovod, p.č. 4/2, 4/1, 1954/1",Banská Štiavnica,Kvietková V.,"Midland Adventure, s. r. o., Kvietok M.,  Elgyudová D.","Midland Adventure, s. r. o.",,negatívne,negatívne,,,1,TRUE,-1262158.522,-435288.5689,malá
č.a. 31331,21102,2024,2023,nálezová správa - externá,Staré Hory,Staré Hory,"Spriechodnenie migračnej bariéry na Starohorskom potoku r.km 6.960, p.č. 3147/25,....",Banská Bystrica,Kvietok M.,"Midland Adventure, s. r. o., Kvietok M., Pinter R.","Midland Adventure, s. r. o.",,negatívne,negatívne,,,1,TRUE,-1216604.986,-418995.3946,malá
č.a. 31332,21103,2024,2023,nálezová správa - externá,Trnava,Trnava,"Bytový dom Pri aleji, Ulica gen. Goliána, p.č. 8398/1-3, 8399/193, 10546/4",Trnava,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,negatívne,negatívne,,,1,TRUE,-1260756.466,-535913.4319,malá
č.a. 31333,21104,2024,2023,nálezová správa - externá,Veľký Meder,Veľký Meder,"Využitie geotermálnej energie na vykurovanie, ul. Železničná, ul. Komárňanská, p.č. 3087,3088/1,3096,3099,3495/2, 3704/3",Dunajská Streda,Žundálek I.,"ARCHAEOJEDI, s.r.o., Gereová M., Žundálek I.","ARCHAEOJEDI, s.ro.",,negatívne,negatívne,,,1,TRUE,-1317503.78,-527460.0452,malá
č.a. 31334,21105,2024,2021,nálezová správa - externá,Podhradie nad Váhom,Podhradie,"Rúbaň, p.č. 1513/1, 292, 293",Martin,Furman M.,"PÚ SR ZA, Furman M., Oporosková S., Benediková L., Both M.",PÚ SR ZA,,"Pravek, Stredovek, Novovek","PK, ST, NV",sídlisko opevnené,"Pravek - sídlisko opevnené, Stredovek - sídlisko opevnené, Novovek - sídlisko opevnené",1,TRUE,-1192546.119,-419788.9611,malá
č.a. 31336,21106,2024,2023,nálezová správa - externá,Ostrov (okres Piešťany),Ostrov,"Hala potravím, p.č. 223/1",Piešťany,Žaár O.,"Pamarch s.r.o., Žaár O., Žaárová Ľ.",Pamarch s.r.o.,,Novovek,"NV-19, NV-20",sídlisko,"Novovek - 19. storočie - sídlisko, Novovek - 20. storočie - sídlisko",1,TRUE,-1231911.362,-519906.622,malá
č.a. 31337,21107,2024,2023,nálezová správa - externá,Veľké Lovce,Veľké Lovce,"Skladová hala, p.č. 1985/58",Nové Zámky,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,negatívne,negatívne,,,1,TRUE,-1298673.975,-484553.8107,malá
č.a. 31338,21108,2024,2023,nálezová správa - externá,Nitra I,Nitra,"MULTIDEVELOPMENT Nová Nitra – 2. etapa, Pivovarská ul., p.č. 4564/1, 4579,4582/1,4564/22",Nitra,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,Novovek,"NV-18, NV-19",neurčiteľné,"Novovek - 18. storočie - neurčiteľné, Novovek - 19. storočie - neurčiteľné",1,TRUE,-1270311.106,-499925.463,malá
č.a. 31346,21109,2024,2023,nálezová správa - externá,Dunajská Streda,Dunajská Streda," RD, p.č. 1942/98, 1942/108, 1942/109, 1942/142",Dunajská Streda,Bazovský I.,"Archeologické múzeum SNM, Bazovský I.",Archeologické múzeum SNM,,negatívne,negatívne,,,1,TRUE,-1301991.249,-536130.411,malá
č.a. 31347,21110,2024,"2020, 2021, 2022, 2023",nálezová správa - externá,Plavecké Podhradie,Plavecké Podhradie,"OS Pod Hradom, p.č. 2118/72,83,85,95",Malacky,Bartík J.,"Archeologické múzeum SNM, Bartík J.",Archeologické múzeum SNM,,negatívne,negatívne,,,1,TRUE,-1243999.607,-558810.5132,malá
č.a. 31348,21111,2024,2022,nálezová správa - externá,Brezová pod Bradlom,Brezová pod Bradlom,"Štverník, p.č. 3635",Myjava,Jelínek P.,"Archeologické múzeum SNM, Jelínek P.",Archeologické múzeum SNM,,Pravek,PK,,Pravek,1,TRUE,-1226150.465,-538581.8119,malá
č.a. 31349,21112,2024,"2022, 2023",nálezová správa - externá,Záhorská Bystrica I,Bratislava - Záhorská Bystrica,"OD Kaufland, p.č. 364/1, 364/3, 364/4, 364/9, 365, 367/1, 368, 374/1, 374/2, 374/3, 382/1, 382/2, 382/3, 382/4 a 894/72",Bratislava IV,Nagy P.,"Archeologické múzeum SNM, Nagy P.",Archeologické múzeum SNM,,Novovek,NV,,Novovek,1,TRUE,-1269272.975,-578089.9708,malá
č.a. 31350,21113,2024,"2021, 2022",nálezová správa - externá,Horná Mičiná,Horná Mičiná,"Hájny diel, p.č. 566/2",Banská Bystrica,Bartík J.,"Archeologické múzeum SNM, Bartík J., Zachar T., Ušiak P.",Archeologické múzeum SNM,,Eneolit-starý,EN-st,sídlisko,Eneolit - starý - sídlisko,1,TRUE,-1232992.846,-416065.0044,malá
č.a. 31351,21114,2024,2023,nálezová správa - externá,Rimavská Sobota,Rimavská Sobota,"Kurinec, Barátov kút, p.č. 3921/3",Rimavská Sobota,Botoš A.,"Gemersko-Malohontské múzeum, Botoš A.",Gemersko-Malohontské múzeum,,"Doba laténska, Doba rímska, Stredovek, Novovek","LT, RI, ST, NV",sídlisko,"Doba laténska - sídlisko, Doba rímska - sídlisko, Stredovek - sídlisko, Novovek - sídlisko",1,TRUE,-1275218.27,-355238.7105,veľká
č.a. 31176,21115,2023,2023,nálezová správa - interná,Dražovce,Nitra,"Komunitné centrum, p.č. 1581/2, 3/1",Nitra,Milová B.,Milová B.,,33/2023,negatívne,negatívne,,,1,TRUE,-1264451.833,-501195.6535,malá
č.a. 31246,21116,2023,2023,nálezová správa - interná,Lužianky,Lužianky,"Golf Hotel, p.č. 1945/4, 1965/36,37,39",Nitra,Milová B.,Milová B.,,82/2023,negatívne,negatívne,,,1,TRUE,-1266356.256,-505215.0554,malá
č.a. 31145,21117,2023,2023,nálezová správa - interná,Banská Štiavnica,Banská Štiavnica,"Kaplnka sv. Alžbety, p.č. 4109/3, 4109/2, 5735/1,4104",Banská Štiavnica,Gabulová M.,Labuda J.,,23/2023,"Stredovek, Novovek","ST-13, ST-14, ST-15, NV-16, NV-17",areál kultový,,1,TRUE,-1258534.26,-437910.8211,malá
č.a. 30790,21118,2022,"2022, 2023",nálezová správa - interná,Kremnica,Kremnica,"ul. Jula Horvátha (Huty), Supermarket 1k, Športový areál – Kremnica",Žiar nad Hronom,Malček R.,"Malček R., Debnár P., Čierny M.",,19/2022,Novovek,NV,areál výrobný,,1,TRUE,-1231327.969,-435113.8092,malá
č.a. 31352,21119,2024,2007,nálezová správa - interná,Šoporňa,Šoporňa,"Lokalizácia IBV – NSO Šoporňa, komunikácia a inžinierske siete, ul. Poštová, p.č. 248/1, 1518/82",Galanta,Cheben I.,Daňová K.,ArÚ SAV,,negatívne,negatívne,,,1,TRUE,-1273711.913,-519900.0823,malá
č.a. 31353,21120,2024,"2022, 2023",nálezová správa - externá,Čemerné,Vranov nad Topľou,"Rozšírenie vodovodu a kanalizácie, Sadok, p.č. 619, 620, 621, 623, 626, 628/3.....",Vranov nad Topľou,Záhorec Ľ.,"Archeovýskum s.r.o., Záhorec Ľ., Záhorcová E.",Archeovýskum s.r.o.,,negatívne,negatívne,,,1,TRUE,-1222842.592,-232281.156,malá
č.a. 31354,21121,2024,2023,nálezová správa - externá,Čaradice,Čaradice,"IBV Lúky - Čaradice, technická vybavenosť, p.č. 4704, 4707, 4708",Zlaté Moravce,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,negatívne,negatívne,,,1,TRUE,-1266068.157,-468314.0016,malá
č.a. 31368,21122,2024,2023,nálezová správa - externá,Pata,Pata,"JRD, rozšírenie ČOV, 822/311, 822/18, 822/296",Galanta,Horváth I.,"Archeocenter s.r.o., Horváth I.",Archeocenter s.r.o.,,Doba laténska,LT,sídlisko,Doba laténska - sídlisko,1,FALSE,,,malá
č.a. 31355,21123,2024,2024,nálezová správa - interná,Lužianky,Lužianky,"Kajsianske lúky, Výrobno-skladové haly S, 2. etapa, p.č. 2860/1",Nitra,Vangľová T.,Vangľová T.,ArÚ SAV,8/2024,negatívne,negatívne,,,1,TRUE,-1266568.544,-502083.4401,malá
č.a. 31231,21124,2023,2023,nálezová správa - interná,Trstín,Trstín,"Pri trnavskej ceste, Oprava koróznych vád a anomálnych zvarov potrubia DN1200, p.č. 281/1, 1120/1",Trnava,Bobek P.,Bobek P.,,73/2023,Eneolit-lengyelská IV,"EN-ls, NV",sídlisko,,1,TRUE,-1241966.223,-543202.189,malá
č.a. 31251,21125,2023,2023,nálezová správa - interná,Zvolen,Zvolen,"Zámok, vonkajšie nádvorie - výmena kanalizácie, p.č. 1129/13",Zvolen,Beljak J.,"Beljak J., Debnár P.",,87/2023,"Stredovek, Novovek","ST, NV",sídlisko opevnené,,1,TRUE,-1246421.326,-420479.5656,malá
č.a. 31075,21126,2023,2023,nálezová správa - interná,Ostrá Lúka,Ostrá Lúka,"Hradisko Gunda, p.č. 1328, 1331",Zvolen,Beljak J.,"Beljak J., Debnár P.",,17/2023,Doba bronzová,BZ,sídlisko opevnené,,1,TRUE,-1247294.513,-425290.5506,malá
č.a. 31165,21127,2023,2023,nálezová správa - interná,Šoporňa,Šoporňa,"INS_FTTH_SRED_01_Šoporňa_II.časť, Ulice Dukelská, Kollárova, Komenského, M. Nešporu....",Galanta,Daňová K.,Daňová K.,,30/2023,Novovek,"NV-18, NV-19",neurčiteľné,,1,TRUE,-1273656.276,-520157.0067,malá
č.a. 31183,21128,2023,2023,nálezová správa - interná,Iža,Iža,"Leányvár, Vojenský tábor - kastel, p.č. 1704/1,4",Komárno,Rajtár J.,"Rajtár J., Daňová K.",,40/2023,Doba rímska,RI,sídlisko,,1,TRUE,-1332725.519,-496652.0355,veľká
č.a. 29295,21129,2017,2017,nálezová správa - interná,Hviezdoslavov,Hviezdoslavov,"Poľný tábor, Planá, Čerešňová, p.č. 155/47",Dunajská Streda,Rajtár J.,Rajtár J.,,75/2017,Doba rímska,RI-02,sídlisko,,1,TRUE,-1291798.97,-556954.9661,malá
